,sha256,md5,ransomware_family
0,54d760b47de0204e3af3305993ddeb964a99fe24901799c05bb0b43d0835727f,715eb01e47b70ef98578723afe4c054d,lamer
1,bc60a3ff601aa5c429c18ceeacd9b8a5bbdfb7b15513564f140326232851bdda,eda558767dd85d98461c23407cc04bf6,lamer
2,3b9a58b649dbfccfc04fe77b8b1da0b48e493dde87f7b5943b706cb9e6af7825,e68f08e8f8e274562d4e939a002524b9,sivis
3,73144d0cb1a5d491356aafd30a757a4f33ef9e0f52e093828f37a07ea11976a5,ed75ebbfd4b4bf6530486b95fed0468c,agentb
4,95ce618a4a3cb57c8b935ca7fc0dac03251651aed97e5ff7dd8dd0efea4b786b,1ca838e77eee893841e3287ad226c7dd,lamer
5,fc31282f8ff4cf240ad9ee4b2ccaf91c34c7a17ed4dc39384f52c6d57e36aaeb,9ac5d731e4619aa552304107805d23ee,lamer
6,57f40bcce0cf935db322a72140d5dbf9bd0c520679d8377a89e2c76fe2aa8664,cc74ab380c47570a4d0d5114c3ae4f78,berbew
7,7b7c08182e5fa474d2e6c3391550fb38140d5454cbb4af84ede0846a9b9ffba5,b62c7e161656c335cd9fc2b047cb2bfb,berbew
8,f8b2e41981e74cbaccbbba088d24093c8cc92d3f1fb602b5066155f3af762fe6,fa1e557e892001684fd9a19aa9266455,sivis
9,71456644f84dbb3d0a3747736b5b989c414386a9083bb0331aeaf13158a05b29,ac88a3d4e07fd8b36ceeae37ae3392e0,gamarue
10,024f65ec84ab16ec7ee1eb93c65617a3d56b7af65de009d0c2a9df55431f73b6,c5fbab1549a302c37920a35124cae5e8,berbew
11,43e007fcfc1fb402c7dfb5f4db2bf99ef9d040445582af618cf31b0b11f61039,8db8d37cd424641c0eeac35520aba580,berbew
12,257095a8dab1423e98003cc877403fa8e502c8e8c2b39369b474dbe47562425e,165373b34503e3cf209c32594c5e6ebe,gator
13,a35435ed2ee0a2f0fac539a69dfdfa632b88fd8ff949ef862b27a893648fcbbc,6e0e45cde45c797d1e3b00e67e643cd1,viking
14,f1bbaf73368ccb93c8f922d6befc386ea83aaa7c2ec6938d3c04451ad598af24,11e8714c4db0fa122f33874738cbcf02,pajetbin
15,aea3688dea77495c79afe449ef3a6c07aff4a0e0587a06646151c73f5c727bbc,c04cb1f9931898382595b120923a0f8b,pajetbin
16,00e034a95f2590e02b7ed839275dbe307b1efefbaa6e082633acc097ba10f029,d8c5a06a2e93d6548741e801824af3ee,sivis
17,88bfabb461397c98a4cc36d57bdd0bda14c583df3aae6303111c642966145955,ebd6c28946d792f663223d8fcafff45c,lamer
18,2b4fa934aeb5a5e9fb722ee2ea597a4d11e9b471bd9baac3713cb1b536af554d,e57d4d506878854b3d50c8e9238ebc8e,lamer
19,1bd70f7dc0688e02102aa4acf75c60139cdcff7f94b7091be95c799b0bd5f0d3,6ff6452855b42a5137d24f2a531c454d,pajetbin
20,7ccf64e01050004e0df76efc398ff647bc8e32714085cd18a78f8ac88cf9a458,bb50f7b20e11c807636bf5c25ec6b074,berbew
21,6a3bb4416999b928ea293e1134300b760a64e272e8f1f328ced7c5be586ea82d,6cceb58e9f495473b6ac0b5fa8436f50,crypmodadv
22,5b56c5d86347e164c6e571c86dbf5b1535eae6b979fede6ed66b01e79ea33b7b,0c4a84b66832a08dccc42b478d9d5e1b,nandrobox
23,458baba078daf111b2edcdac300833469835c5c9029916cb67c2a435eaa616c0,ea910b5f359a73e5e5207df6a29577f4,berbew
24,48f60f767614bb0c18697f23808d70cc0bb8756441c2a940430bbc245a12c64e,34487ac8369d15b9449b5e5fa7925ab8,pjfa0a48fd
25,2d1e38e469375ef957e32842017fa323b9dfa29452ed7bd074d7d3644ef8a6ef,ccf93f81d5ec1c648b66144d986c832c,pajetbin
26,30bdfd5a5e0dcec0ec3f15675b15e7d5cb1b3691d347607937c40c37b3d2b66b,fcd11c04073527a884e5bafbc98c1127,sfone
27,d5fea23badc75de93f78bbb0c9f376d6ed997b474b7c36d062838eaa1a055e0f,55426f20e609eafabdf8678b53e6f5ae,vobfus
28,60372fd81d5644b85778d4d078030130637fe71dc9ca94dc1a21fb6622a19417,872ea717eb4f79b9901aa0c09b1d81be,berbew
29,46fd03a34308da924ea0bd36dd42a3e87338c8b0a759d23e93b1dda4f7fb5331,2ab9b1b9bde3bf07acdbc2daf7ba8e7f,berbew
30,ab25fb19acbd14dd91a826f3136f79c9bd03c54039e8d4c70bf959f9a90fe02a,47bc3b4465c88c1f1cf80dd3b5eedca4,berbew
31,bd6b7a032922e677da6ef4f62365c9ef43246e053ca59edc25926d4be502dec6,2844484c2f6de3233bac318e87677720,lamer
