sample_id,filename,md5,title,description,type,href,size,download_link,last_checked
13001,dropbox_1.4.17.exe,8d7f98d5b2f8ccc2a49b4867f272f0c2,Dropbox,"Upload and manage data, and share files and folders with friends.",most_popular,https://dropbox.informer.com/,17 MB,https://dropbox.informer.com/download/?ca523cb,"May 24, 2024."
13002,npp.5.9.8.installer.exe,6997bdec840b3d2bfaf4c52368a20432,Notepad++,Edit text files and program codes with syntax highlighting.,most_popular,https://notepad17.software.informer.com/,5.4 MB,https://notepad17.software.informer.com/download/?ca364a3,"November 18, 2023."
13003,fdm_x64_setup.exe,dcf5ac41204864216b005ba522938ca7,Free Download Manager,A powerful modern download accelerator and organizer for Windows and Mac.,most_popular,https://free-download-manager.software.informer.com/,38.2 MB,https://free-download-manager.software.informer.com/download/?ca36c883,"May 24, 2024."
13004,eset_smart_security_live_installer.exe,6b4d1e3b2f1d03b53f6240b5f87462df,ESET Smart Security,"A security solution for keeping your family, data, identity and devices safe.",most_popular,https://eset-smart-security.informer.com/,2.9 MB,https://eset-smart-security.informer.com/download/?ca124014,"May 16, 2024."
13005,fsviewersetup32.exe,86790cda8224f8bd67f527d43cb85727,FastStone Image Viewer,"Manage, view, edit and convert your images in batches.",most_popular,https://faststone-image-viewer.software.informer.com/,3.4 MB,https://faststone-image-viewer.software.informer.com/download/?ca711c,"May 22, 2024."
13006,wrcfree.exe,1fe8146ad81ac2e46dc20debd667bef5,Wise Registry Cleaner Free,Wise Registry Cleaner is one of the safest Registry cleaning tools.,most_popular,https://wise-registry-cleaner.software.informer.com/,5.8 MB,https://wise-registry-cleaner.software.informer.com/download/?cf269531,"May 29, 2024."
13007,keepass-2.56-setup.exe,86a0d58d2ae89c639d940dbda48308df,KeePass Password Safe,Manage your usernames and passwords in an encrypted database.,most_popular,https://keepass-password-safe.software.informer.com/,4.2 MB,https://keepass.info,"May 1, 2024."
13008,slacksetup.exe,df8d4dd6333621c294a96af8bd450c73,Slack,Manages files and facilitates online communication for your projects.,most_popular,https://slack2.software.informer.com/,74.5 MB,https://slack.com/features,"May 1, 2024."
13009,dittosetup_64bit_3_21_134_0.exe,0c2757bcfc3c4c137c796d876aeb49b3,Ditto,Extension to the standard Windows clipboard.,most_popular,https://ditto.software.informer.com/,10.8 MB,https://ditto.software.informer.com/download/?ca33124e,"June 25, 2024."
13010,photo-collage-studio_full15.exe,29b2c58d062dc19cccb82e6514975da4,Wondershare Photo Collage,A nice program to create photo collages with different layouts.,most_popular,https://wondershare-photo-collage-studio.software.informer.com/,26.6 MB,https://wondershare-photo-collage-studio.software.informer.com/download/?ca2c5bac,"April 30, 2024."
13011,torbrowser-install-10.0.16_en-us.exe,527a6a73dc1c9b78f8718536b4d1c8af,Tor Browser,Browse the Internet anonymously and without any limitations.,most_popular,https://tor-browser.software.informer.com/,67.7 MB,https://tor-browser.software.informer.com/download/?ca245223,"May 6, 2024."
13012,safeincloud_setup.msi,4fe594122d1a50e8ad0706b9ea5ecf66,SafeInCloud Password Manager,"Manage usernames and passwords, and auto-fill web forms.",most_popular,https://safeincloud-password-manager.software.informer.com/,11.9 MB,https://safeincloud-password-manager.software.informer.com/download/?ca35e255,"May 29, 2024."
13013,avast_free_antivirus_setup_online_cnet_2.exe,2be6ab94b17ff1597b727d42f744d010,Avast Free Antivirus,"Gives real time protection from viruses, spyware, ransomware, and other malware.",most_popular,https://avast-free-antivirus.informer.com/,174 KB,https://avast-free-antivirus.informer.com/download/?ca1ad11b,"April 26, 2024."
13014,firefox_setup_49.0.2.exe,8d7e04047252c0943b5b523b5debd39c,Firefox,Surf the Internet securely on an open-source web browser.,most_popular,https://firefox.informer.com/,43.6 MB,https://firefox.informer.com/download/?ca15c509,"April 5, 2024."
13015,icloudsetup.exe,0278e452e1c01dd44958134617e1c5a7,iCloud,"Access your iCloud photos, files, and passwords from your Windows PC.",most_popular,https://icloud.software.informer.com/,147 MB,https://icloud.software.informer.com/download/?ca1a742f,"June 26, 2024."
13016,thunderbird_setup_12.0.1.exe,f3cc137e5769be8778a2d72c5ce1c744,Mozilla Thunderbird,Gives access to multiple email accounts on a single interface.,most_popular,https://mozilla-thunderbird.software.informer.com/,16.8 MB,https://mozilla-thunderbird.software.informer.com/download/?ca46e0f,"May 24, 2024."
13017,13-9-legacy_vista_win7_64_dd_ccc_whql.exe,8156b44c7d41f6fde6c3f7b38641b866,AMD Catalyst,Manage the settings of AMD graphic cards and monitors connected to your PC.,most_popular,https://amd-catalyst-install-manager.software.informer.com/,153 MB,https://amd-catalyst-install-manager.software.informer.com/download/?ca17d1c2,"June 28, 2024."
13018,physx_9.10.0513_systemsoftware.exe,a91dc17d650098cd3273b78dc1f36932,AGEIA PhysX,Software for improving the performance of Nvidia graphic cards.,most_popular,https://ageia-physx.software.informer.com/,32.4 MB,https://ageia-physx.software.informer.com/download/?ca1a2608,"May 24, 2024."
13019,apache_openoffice_4.1.3_win_x86_install_en-us.exe,6de63403961d7e67a2cc9097437eba84,OpenOffice,"It is designed for word processing, presentations, graphics and databases.",most_popular,https://openoffice-org.software.informer.com/,134 MB,https://openoffice-org.software.informer.com/download/?ca179da6,"May 17, 2024."
13020,pdfcreator-5_2_1-setup.exe,6317d7ad4b64f7964f41ee6cb8f848be,PDFCreator,Convert any printable document to PDF and other formats.,most_popular,https://pdfcreator.informer.com/,42.2 MB,https://pdfcreator.informer.com/download/?ca3603e2,"June 4, 2024."
13021,dopdf.exe,096cc26f3244ff9933a84d0ff3beafed,doPDF,Create PDF documents using the medium quality preset.,most_popular,https://dopdf.informer.com/,1.2 MB,https://dopdf.informer.com/download/?ca96429,"May 24, 2024."
13022,paint.net.3.5.8.install.zip,63140a357e1a6ee17ec48a7a9f8dd159,Paint.NET,Free and powerful photo editing program.,most_popular,https://paint-net.informer.com/,746 KB,https://paint-net.informer.com/download/?cf269074,"May 27, 2024."
13023,ccsetup622.exe,ce7b13114912dea6d991c3ce9ff9b2b2,CCleaner,"Keep your PC free of junk data, leftovers and all other unnecessary files.",most_popular,https://ccleaner.software.informer.com/,79.5 MB,https://ccleaner.software.informer.com/download/?ca3607f2,"March 15, 2024."
13024,itunes6464setup.exe,c3f4320f9a03e19cd9377299f41052f2,iTunes,"Organize and enjoy the music, movies, and TV shows on your computer.",most_popular,https://itunes.software.informer.com/,145 MB,https://itunes.software.informer.com/download/?ca304602,"May 24, 2024."
13025,acrordrdc1901220036_en_us.exe,88dede1f7d09153ec53f022f1a638c16,Adobe Acrobat Reader DC,"Open, print, share, annotate, form-fill, and add signatures to PDF documents.",most_popular,https://adobe-acrobat-reader-dc.software.informer.com/,166 MB,https://adobe-acrobat-reader-dc.software.informer.com/download/?ca1b0d7f,"April 20, 2024."
13026,picasa39-setup.exe,f5e535745f0e2140c31623df8f9ad746,Picasa,Easily view and edit your photos and share them to Google+.,most_popular,https://picasa.software.informer.com/,13 MB,http://picasa.google.com,"November 13, 2023."
13027,quicktimeinstaller.exe,1a762049bef7fc3a53014833757de2d2,QuickTime,"Play key media formats, including H.264 and AAC ones.",most_popular,https://quicktime.software.informer.com/,40 MB,https://quicktime.software.informer.com/download/?ca1cb15e,"May 17, 2024."
13028,steamsetup.exe,f5050acbfdf22210cba2a18755c3852c,Steam,"Entertainment platform to play games, connect, create, and more.",most_popular,https://steam.informer.com/,1.1 MB,https://steam.informer.com/download/?ca73a3b,"May 24, 2024."
